2508,Y,0,1,0
2509,Y,0,1,39
2510,Y,0,6,15
2515,Y,0,5,29
2531,Y,80,5,76
2532,Y,33,5,160
2533,Y,68,3,80.5
2535,Y,0,1,13
2536,Y,4,1,4
2537,Y,12,1,12
2538,Y,10,1,11
2539,Y,0,5,27
2540,Y,0,5,1
2542,Y,0,5,0
2543,Y,0,5,0
2544,Y,0,5,0
2545,Y,0,3,13
2546,Y,0,3,32
2547,Y,4,3,44
2548,Y,10,3,12
2549,Y,0,3,25
2550,Y,27,3,35
2551,Y,14,3,58
2552,Y,0,3,51
2558,Y,0,5,37
2559,Y,0,5,7
2560,Y,0,5,15
2561,Y,0,3,67
2562,Y,0,3,10
2563,Y,0,5,6
2564,Y,0,5,6
2565,Y,0,5,9
2566,N,0,3,0
2567,Y,0,3,26
2568,Y,0,3,36
2569,Y,0,3,42
2570,Y,0,3,10
2571,Y,0,3,29
2572,Y,0,3,33
2573,Y,0,5,8
2574,Y,0,3,20
2575,Y,0,3,7
2576,Y,0,3,50
2577,Y,0,3,15
2579,Y,19,6,20
2580,Y,0,6,3
2581,Y,0,6,10
2582,Y,73,6,74
2583,Y,41,6,41
2585,N,0,3,0
2586,N,0,5,0
2587,N,0,5,0
2588,N,0,5,0
2589,N,0,5,0
2590,N,0,5,0
2591,N,0,5,0
2592,N,0,3,0
2594,N,0,5,11
2595,N,0,5,38
