ItemID_DE;ItemNoDE;EAN;ParentNo;ItemNameDE;RemarkDE/EN;Sales_Price_EUR;Is_StockItem;StockQtyEU;MSQ_EU;is_dim_weight_estimated;weight(g);length(mm);width(mm);height(mm);is_active;Überverkäufe möglich;Stückzahl teilbar;Versandgewicht(kg);Length;Breite;Höhe;TARIC-Code
11376;6,23285E+12;6232850333418;V002-TMT;Zahnriemen 2GT-6-310;;2,35;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11375;6,2307E+12;6230700392691;V002-TMT;Zahnriemen 2GT-10-308;;3,95;Y;0;0;1;0;80;73;10;Y;Y;N;0;8;7,3;1;4010390090
11374;6,23081E+12;6230814833370;V002-TMT;Zahnriemen 2GT-10-306;;3,28;Y;0;0;1;0;80;73;10;Y;Y;N;0;8;7,3;1;4010390090
11373;6,23833E+12;6238328289232;V002-TMT;Zahnriemen 2GT-6-306;;2,35;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11372;6,23415E+12;6234146410056;V002-TMT;Zahnriemen 2GT-6-304;;2,45;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11371;6,23576E+12;6235756848765;V002-TMT;Zahnriemen 2GT-10-302;;3,95;Y;0;0;1;0;80;73;10;Y;Y;N;0;8;7,3;1;4010390090
11370;6,23169E+12;6231685259986;V002-TMT;Zahnriemen 2GT-15-300;;4,45;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
11369;6,23079E+12;6230785673838;V002-TMT;Zahnriemen 2GT-6-298;;2,35;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11368;6,23502E+12;6235017615709;V002-TMT;Zahnriemen 2GT-6-296;;2,65;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11367;6,23449E+12;6234490445766;V002-TMT;Zahnriemen 2GT-15-294;;4,45;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
11366;6,23994E+12;6239938698056;V002-TMT;Zahnriemen 2GT-10-294;;3,13;Y;0;0;1;0;80;73;10;Y;Y;N;0;8;7,3;1;4010390090
11365;6,23142E+12;6231418787526;V002-TMT;Zahnriemen 2GT-15-292;;4,27;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
11364;6,23799E+12;6237985415992;V002-TMT;Zahnriemen 2GT-6-292;;2,29;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11363;6,23532E+12;6235317566640;V002-TMT;Zahnriemen 2GT-10-290;;3,13;Y;0;0;1;0;80;73;10;Y;Y;N;0;8;7,3;1;4010390090
11362;6,23846E+12;6238460512847;V002-TMT;Zahnriemen 2GT-6-290;;2,29;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11361;6,23222E+12;6232222621242;V002-TMT;Zahnriemen 2GT-6-286;;2,65;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11360;6,23124E+12;6231243872329;V002-TMT;Zahnriemen 2GT-10-284;;3,71;Y;0;0;1;0;80;73;10;Y;Y;N;0;8;7,3;1;4010390090
11359;6,23146E+12;6231464211914;V002-TMT;Zahnriemen 2GT-6-282;;2,65;Y;0;0;1;0;80;73;6;Y;Y;N;0;8;7,3;0,6;4010390090
11358;6,23325E+12;6233245737668;V002-TMT;Zahnriemen 2GT-15-280;;4,13;Y;0;0;1;10;80;73;15;Y;Y;N;0,01;8;7,3;1,5;4010390090
